scientificName,decimalLongitude,decimalLatitude,year,month,day,basisOfRecord
Picea abies (L.) H.Karst.,-69.091128,45.189328,2025,2.0,12.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-68.0654,44.257837,2024,1.0,15.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-70.527322,44.168063,2024,3.0,25.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-67.838302,46.229383,2024,5.0,28.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-67.99451,46.681702,2024,6.0,30.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-68.66663,44.899035,2024,9.0,11.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-69.95806,43.927646,2023,4.0,22.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-68.429044,44.538732,2023,5.0,29.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-70.52855,43.558383,2023,8.0,22.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-69.074621,44.178222,2023,8.0,29.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-68.698634,44.209389,2022,3.0,17.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-69.08005,44.04454,2022,3.0,20.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-68.929806,44.828304,2022,3.0,27.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-68.929757,44.828232,2022,3.0,27.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-70.473976,43.358631,2022,3.0,27.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-70.705562,43.089611,2022,4.0,30.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-70.705807,43.089658,2022,5.0,17.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-68.200754,44.384271,2022,5.0,29.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-68.936612,44.765814,2022,6.0,26.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-70.542595,43.375038,2022,7.0,10.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-70.647991,43.218734,2022,7.0,17.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-68.745024,44.812053,2022,9.0,24.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-70.776917,44.395569,2022,9.0,29.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-68.82003,44.65374,2022,9.0,13.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-70.158522,44.517892,2021,1.0,10.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-68.67,44.9,2021,3.0,14.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-68.946203,44.429349,2021,3.0,24.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-69.127068,44.042728,2021,5.0,9.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-68.059805,44.338313,2021,6.0,12.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-68.060123,44.338327,2021,6.0,12.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-70.727798,43.091896,2021,6.0,14.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-68.660873,44.903877,2021,6.0,27.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-69.601868,44.591843,2021,7.0,17.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-68.763178,44.808418,2021,7.0,22.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-67.824379,46.823132,2021,7.0,25.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-69.988718,43.74196,2021,7.0,17.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-70.498238,43.47406,2021,8.0,8.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-68.273335,44.338556,2021,9.0,23.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-69.66375,44.60413,2021,9.0,11.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-68.669811,44.899661,2021,9.0,18.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-68.997578,44.339516,2020,5.0,27.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-70.145781,44.665189,2020,8.0,12.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-67.677684,44.984931,2020,8.0,14.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-69.796333,44.345305,2020,8.0,29.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-68.205637,44.388472,2020,8.0,25.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-68.918167,44.268066,2020,10.0,6.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-70.572344,43.286373,2020,12.0,12.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-69.588033,44.066876,2019,4.0,7.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-69.100199,44.187446,2019,9.0,6.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-68.668433,44.897592,2019,11.0,21.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-68.669519,44.895731,2019,12.0,5.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-69.658453,44.558287,2018,2.0,17.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-69.049758,44.218444,2017,9.0,4.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-68.273335,44.338556,2011,5.0,31.0,HUMAN_OBSERVATION
Picea abies (L.) H.Karst.,-70.20588,43.56064,1985,1.0,9.0,PRESERVED_SPECIMEN
Picea abies (L.) H.Karst.,-68.200314,44.386791,1950,8.0,22.0,PRESERVED_SPECIMEN
Picea maxwellii Beissn.,-68.200314,44.386791,1950,8.0,22.0,PRESERVED_SPECIMEN
Picea abies (L.) H.Karst.,-70.255326,43.661471,1949,,,PRESERVED_SPECIMEN
Picea abies (L.) H.Karst.,-69.164234,44.135355,1946,6.0,16.0,PRESERVED_SPECIMEN
Picea abies (L.) H.Karst.,-68.671977,44.883125,1916,8.0,4.0,PRESERVED_SPECIMEN
